name,affiliation
Felix Heide,
Alexander Abad,
Henny Admoni,
Ioannis Agtzidis,
Seyed-Ahmad Ahmadi,
Sun Joo (Grace) Ahn,
Andronicus Akinyelu,
Muadh Al Kalbani,
Rawan Alghofaili,
Kamran Ali,
Jan Allbeck,
Florian Alt,
Sebastia Vicenc Amengual Gari,
Daniel Andersen,
Craig Anslow,
Renan Aranha,
Mohammed Safayet Arefin,
Oscar Argudo,
ferran Arguelaguet,
Ahmed Arif,
A Arigho,
Clemens Arth,
Amir Reza Asadi,
Doris Aschenbrenner,
Sabarish V. Babu,
Huidong Bai,
Wei Bai,
Linden Ball,
Shumeet Baluja,
Domna Banakou,
Natasha Banerjee,
Sean Banerjee,
Sunyoung Bang,
Roghayeh Barmaki,
Anil Ufuk Batmaz,
Thabo Beeler,
Lee Beever,
Ilyasse BELKACEM,
Brett Benda,
Hrvoje Benko,
Eliezer Bernart,
Jeffrey Bertrand,
Lonni Besan&#231;on,
Krishna Bharadwaj,
Ayush Bhargava,
BHARAT LAL BHATNAGAR,
Verena Biener,
Helton B&#237;scaro,
Pieter Blignaut,
Bobby Bodenheimer,
Luke Boelling,
Alberto Boem,
Saeed Boorboor,
Frank Borsato,
Patrick Bourdot,
Elodie Bouzbib,
Doug Bowman,
Efe Bozkir,
Jennifer Brade,
Eugenie Brasier,
Gerd Bruder,
Hugo Brument,
Chris Bryan,
Lauren Buck,
Paul Calamia,
Francisco Maria Calisto,
Abraham G. Campbell,
Alberto Cannav&#242;,
Chen Cao,
Sergio Casas,
Renata Castelo-Branco,
Pablo Cesar,
Praneeth Chakravarthula,
Brent Chamberlain,
Aayush Chaudhary,
Haoran Chen,
Shaoyu Chen,
Rongsen Chen,
Yuan Chen,
Chen Chen,
Lung-Pan Cheng,
Zhanglin Cheng,
Yiu-ming CHEUNG,
Inrak Choi,
Toby Chong,
Zubin Choudhary,
Tanvir Irfan Chowdhury,
COURTNEY COGBURN,
Mark Colley,
Mattia Colombo,
Maxime Cordeil,
Patricia Cornelio,
Antoine Costes,
Flavio Coutinho,
Chris Creed,
Sarah Creem-Regehr,
cinzia cremona,
Andrew Cunningham,
Hansen Dan,
Fabien Danieau,
Shalini De Mello,
Arindam Dey,
Massimiliano Di Luca,
Piotr Didyk,
Florian Diller,
Vitor Manuel Dinis Pereira,
Janki Dodiya,
Zhichao Dong,
Tianyang Dong,
John Dudley,
Catherine Dumas,
Enrique Dunn,
David Dunn,
Ulrich Eck,
Marie Eckert,
Onder Erin,
Sumaira Erum Zaib,
Bjoern Eskofier,
James Eubanks,
Andreas Fender,
Yu Feng,
Qi Feng,
