name,affiliation
Yasmeen Abdrabou,
Arsen Abdulali,
Hatem Abou-Zeid,
Parastoo Abtahi,
Haley Adams,
Isayas Adhanom,
Ashu Adhikari,
Jiban Adhikary,
Sun Joo (Grace) Ahn,
Kaan Ak&#x15F;it,
Evangelos Alexiou,
Santiago Alfaro,
Rawan Alghofaili,
Ohoud Alharbi,
Aris Alissandrakis,
Judith Amores Fernandez,
Samuel Ang,
Renan Aranha,
Ferran Argelaguet Sanz,
Rahul Arora,
Ronald Azuma,
Benjamin Bach,
J. Andreas B&aelig;rentzen,
Junxuan Bai,
Huidong Bai,
Gilles Bailly,
Yuki Ban,
Armando Barreto,
Guillaume Bataille,
James Baumeister,
Brett Benda,
Leila Bergamasco,
Zuzana Berger Haladov&aacute;,
Joanna Bergstr&ouml;m,
Jo&atilde;o Bernardes,
Florent Berthaut,
Cor-Paul Bezemer,
Helton B&iacute;scaro,
Arnab Biswas,
Gabriele Bleser,
Alberto Boem,
Alexandra Bonnici,
Andrea B&ouml;nsch,
Pierre Bourdin,
Sabah Boustila,
Guillaume Bouyer,
Elodie Bouzbib,
Evren Bozgeyikli,
Efe Bozkir,
Jennifer Brade,
Richard Brath,
Jas Brooks,
Hugo Brument,
C&eacute;dric Buche,
Lauren Buck,
Abdullah Bulbul,
Florent Cabric,
Aimee Sousa Calepso,
Alberto Cannav&ograve;,
Ville Cantory,
Zekun Cao,
Ruochen Cao,
Antonio Capobianco,
G&eacute;ry Casiez,
Ufuk Celikcan,
Berk Cetinsaya,
Olivier Chapuis,
Jean-R&eacute;my Chardonnet,
Bindita Chaudhuri,
Kuan-Wen Chen,
Xuejin Chen,
Yuan Chen,
Kun-Ting Chen,
Jiapeng Chi,
Winyu Chinthammit,
Mathieu Chollet,
Zubin Choudhary,
Maria Christofi,
Sebastian Cmentowski,
Marc Comino Trinidad,
Robbe Cools,
Gilles Coppin,
Maxime Cordeil,
Cleber Corr&ecirc;a,
Antoine Costes,
Ju Dai,
Kurtis Danyluk,
Grigoris Daskalogrigorakis,
Shakiba Davari,
Josh Urban Davis,
Jauvane de Oliveira,
Ricardo Wandr&eacute; Dias Pedro,
Jean-Yves Didier,
Tilman Dingler,
Tiffany Do,
Keisuke Doman,
Yangzi Dong,
Selan dos Santos,
Fiona Draxler,
Adam Drogemuller,
Dong Du,
Emmanuel Dubois,
John Dudley,
Julie Dugdale,
Funda Durupinar Babur,
Tim Dwyer,
Florian Echtler,
Ulrich Eck,
Bernhard Egger,
Jonathan Ehret,
David Englmeier,
Cathy Ennis,
Barrett Ens,
Austin Erickson,
Augusto Esteves,
Brett Fajen,
Sarah Faltaous,
Ildar Farkhatdinov,
Anja Faulhaber,
Aleksey Fedoseev,
Pedro Guillermo Feij&oacute;o Garc&iacute;a,
Steven Feiner,
Andreas Fender,
Yunhe Feng,
Youji Feng,
Hunter Finney,
Philipp Fleck,
Eelke Folmer,
Jorge Fonseca Cacho,
Gwendal Fouch&eacute;,
Sebastian Freitag,
Jann Philipp Freiwald,
Rebecca Fribourg,
Marcus Friedel,
Doron Friedman,
William Frier,
Bernd Froehlich,
Xiaoming Fu,
Yuichiro Fujimoto,
Hannes Gamper,
Yang Gao,
Danilo Gasques,
Joe Geigel,
Hans Gellersen,
Ceenu George,
Andreas Gerndt,
Romain Giot,
Aaron Gluck,
Alix Goguey,
Eric Gonzalez,
Mar Gonzalez-Franco,
Matt Gottsacker,
Laurent Grisoni,
Jens Grubert,
Uwe Gruenefeld,
Renan Guarese,
Zhishan Guo,
Xingwei Guo,
Kunal Gupta,
Aakar Gupta,
Savannah Halow,
Asim Hameed,
Howard Hamilton,
Ludovic Hamon,
Chris Harding,
Daniel Harley,
Lane Harrison,
Judith Hartfill,
Carlo Harvey,
Milos Hasan,
Waseem Hassan,
Zhenyi He,
Fengming He,
Jan Herling,
Bridger Herman,
Clara Hertzog,
Keita Higuchi,
Juan Luis Higuera-Trujillo,
Linda Hirsch,
Teresa Hirzle,
Thuong Hoang,
Brian Horsak,
Bingyao Huang,
Yi-Jheng Huang,
Shah Rukh Humayoun,
Yuchi Huo,
Tina Iachini,
Michael Iber,
Jose A. Iglesias-Guitian,
Pourang Irani,
Andrew Irlitti,
Tobias Isenberg,
Rifatul Islam,
Johann Habakuk Israel,
Daisuke Iwai,
Camille Jeunet,
Sophie Joerg,
Katharine Johanesen,
Kyle Johnsen,
Tania Johnston,
Brett Jones,
Luiz Gonzaga Jr.,
Alexandre KABIL,
Denise Kahl,
Denis Kalkofen,
Takayuki Kameoka,
HyeongYeop Kang,
Maximus Kaos,
Sukran Karaosmanoglu,
Mohamed Kari,
Jonathan Kelly,
Daniel Keyes,
Farzana Alam Khan,
Ninad Khargonkar,
Chaowanan Khundam,
Seungwon Kim,
Lawrence Kim,
Jangyoon Kim,
Hyung-il Kim,
Jin Ryong Kim,
Jeeeun Kim,
Hak Gu Kim,
Hansung Kim,
Sameer Kishore,
Kiyoshi Kiyokawa,
Gudrun Klinker,
Takafumi Koike,
Naoya Koizumi,
Regis Kopper,
Raj Prateek Kosaraju,
Felix Kosmalla,
Rosamaria Kostic Cisneros,
Rakshit Kothari,
George Koulieris,
Panagiotis Kourtesis,
Niki Kousi,
Valentin Kraft,
Yannis Kritikos,
Ernst Kruijff,
Taras Kucherenko,
Rafael Kuffner dos Anjos,
J&eacute;r&eacute;my Lacoche,
Francesco Laera,
Markus Lappe,
Joseph LaViola,
Flavien Lecuyer,
In-Kwon Lee,
Benjamin Lee,
YI-CHIEH LEE,
Geehyuk Lee,
Sangyoon Lee,
Jaeyeon Lee,
Jaebong Lee,
Laure Leroy,
Yi Li,
David Li,
Jingyi Li,
Xiang Li,
Jiannan Li,
Yue Li,
Liangding Li,
Yuan Li,
Hai-Ning Liang,
Jing Liao,
Tica Lin,
I-Chen Lin,
Kai-En Lin,
Jen-Shuo Liu,
Richen Liu,
Xiaoxing Liu,
Haomin Liu,
Youquan Liu,
Patric Ljung,
Markus L&ouml;chtefeld,
Benjamin Lok,
Daniel Lopes,
Guillaume Loup,
Domitile Lourdeaux,
Yaguang Lu,
Jun-Li Lu,
Feiyu Lu,
Zhicong Lu,
Jean-Luc Lugrin,
Guoliang LUO,
Tiffany Luong,
Zhihan Lv,
Anderson Maciel,
M. Rasel Mahmud,
Andrew Maimone,
Morteza Malekmakan,
Divine Maloney,
Sandra Malpica,
David Mandl,
Arthur Maneuvrier,
Mark Marshall,
Daniel Martin,
Diego Martinez Plasencia,
Alison Jane Martingano,
Renan Martins Guarese,
Marta Matamala-Gomez,
Florian Mathis,
Haruka Matsukura,
Keigo Matsumoto,
